url	dir	city	term	cost_dvig	point1	point2	point3	dist_chelny	dist_krasnodar	dist_moscow	latitude	longitude	text1	text2	text3	text4	img1	img2
blagoveshchensk	dostavka/blagoveshchensk	Благовещенск	12-16	15460	Амурская область, Благовещенский р-н, г.Благовещенск, ул. Калинина, д.126 (территория ИПК «Приамурье»)			6693	8375	7749	50,288223	127,52496						
bratsk	dostavka/bratsk	Братск	11-13	12910	Иркутская обл, г.Братск, ул. Южная, д. 14, стр. 10			3994	5675	5048	56,1457	101,6099						
bryansk	dostavka/bryansk	Брянск	6-7		Брянская обл, г.Брянск, ул. М.Расковой, д.25			1447	1302	384	53,337344	34,279585						
chajkovskij	dostavka/chajkovskij	Чайковский	3-5					278	2182	1276								
cheboksary	dostavka/cheboksary	Чебоксары	3-4	5423	Чувашская Республика - Чувашия, г.Чебоксары, ул. Гаражный проезд, 3, Лит. В, В1			404	1786	660	56,113035	47,274992						
chelyabinsk	dostavka/chelyabinsk	Челябинск	4-5	7810	Челябинская область, г. Челябинск, Северный луч, д. 1а			718	2402	1776	55,214675	61,433474						
cherepovets	dostavka/cherepovets	Череповец	6-7		Вологодская область, г. Череповец, ул. Красная, 4Г			1298	1832	488	59,114289	37,967843						
chita	dostavka/chita	Чита	14-17	14950	Забайкальский край, г. Чита, ул. Туринская, 1б			5217	6901	6274	52,069629	113,45368						
dimitrovgrad	dostavka/dimitrovgrad	Димитровград	3-5		433504, г. Димитровград, ул. Промышленная, д.35/5			353	1608	971	54,213412	49,571899						
ekaterinburg	dostavka/ekaterinburg	Екатеринбург	3-4	7469	Свердловская обл., г.Екатеринбург, ул. Чистопольская, д. 6			846	2527	1797	56,823662	60,681989						
habarovsk	dostavka/habarovsk	Хабаровск	11-14	15714	Хабаровский край, г. Хабаровск, ул. Тихоокеанская, д. 73, корп. 3			7328	9012	8385	48,503271	135,03527						
hanty-mansijsk	dostavka/hanty-mansijsk	Ханты-Мансийск	6-7	11975				1691	3491	2601								
irkutsk	dostavka/irkutsk	Иркутск	10-13	12910	Иркутская обл., г.Иркутск, ул. Новаторов, д.1			4171	5853	5225	52,3508	104,2093						
ishim	dostavka/ishim	Ишим	5-7	9680				1356	3037	2410								
ivanovo	dostavka/ivanovo	Иваново	1-2	3553	Ивановская обл., г.Иваново, ул. Парижской Коммуны, д. 84			926	1606	308	56,999441	40,916123						
izhevsk	dostavka/izhevsk	Ижевск	1-3	6280	Удмуртская Респ., г. Ижевск, ул. Пойма, д. 22			206	2107	1200	56,8052	53,1956						
joshkar-ola	dostavka/joshkar-ola	Йошкар-Ола	4-5	5423	Марий Эл Респ., г.Йошкар-Ола, ул. Строителей, 99 Б			393	1866	749	56,614759	47,867277						
kaliningrad	dostavka/kaliningrad	Калининград	6-8	6110	Калининградская обл, г. Калининград, ул. Пригородная, д. 20			2361	2306	1284	54,726904	20,565517						
kaluga	dostavka/kaluga	Калуга	3-4	3553	Калужская обл., г. Калуга, ул. Параллельная, д.11, стр. 22			1245	1278	182	54,5582	36,2694						
kamensk-uralskij	dostavka/kamensk-uralskij	Каменск-Уральский	5-6		Свердловская обл., г.Каменск-Уральский, ул. Карла Маркса, 99			845	2526	1896	56,440534	61,895846						
kansk	dostavka/kansk	Канск	9-12	16554				3341	5023	4395								
kazan	dostavka/kazan	Казань	1-3	5770	Республика Татарстан, г. Казань, ул. Тихорецкая, д. 19			241	1778	810	55,729605	49,116044						
kemerovo	dostavka/kemerovo	Кемерово	6-8	11550	Кемеровская обл, г.Кемерово, Кузнецкий пр-т, д. 91			2589	4270	3643	55,337	86,061694						
kirov	dostavka/kirov	Киров	5-7	5423	г. Киров, ул. Щорса, д. 70А/5			491	2206	959	58,571493	49,578056						
kolomna	dostavka/kolomna	Коломна	5-6		Московская область, Коломенский район, поселок Радужный 47Б			1084	1307	114	55,14016257	38,731043						
komsomolsk-na-amure	dostavka/komsomolsk-na-amure	Комсомольск-на-Амуре	23-25		ул. Вокзальная, д. 10/4Б			7757	9438	8811	50,556051	137,0039						
